Problem ID,Problem type,Framework,Experiment name,Outcome,Problem Version Solved,Is Generalizable?,Quality / Anomaly
0c786b71,Direct Procedure,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0c786b71,Direct Procedure,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0c786b71,Direct Procedure,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0c786b71,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0c786b71,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0c786b71,Direct Procedure,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0ca9ddb6,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0ca9ddb6,Cognitive Labyrinth,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0ca9ddb6,Cognitive Labyrinth,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0ca9ddb6,Cognitive Labyrinth,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0ca9ddb6,Cognitive Labyrinth,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0ca9ddb6,Cognitive Labyrinth,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0d3d703e,Local Geometric Analysis,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
0d3d703e,Local Geometric Analysis,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
0d3d703e,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
0d3d703e,Local Geometric Analysis,Baseline_Static_Heterogeneous,120 experiment,Failure,ARC-AGI-V2,FALSE,Brittle & Non-Generalizable Solution (Overfitted to test case)
0d3d703e,Local Geometric Analysis,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
0d3d703e,Local Geometric Analysis,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
0e671a1a,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0e671a1a,Cognitive Labyrinth,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0e671a1a,Cognitive Labyrinth,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0e671a1a,Cognitive Labyrinth,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0e671a1a,Cognitive Labyrinth,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0e671a1a,Cognitive Labyrinth,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
12997ef3,Holistic Abstract Reasoning,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2,FALSE,Brittle Solution based on Hallucinated Logic
12997ef3,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
140c817e,Local Geometric Analysis,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
140c817e,Local Geometric Analysis,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
140c817e,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Logically Broken Solution (Hallucinated Logic)
140c817e,Local Geometric Analysis,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
140c817e,Local Geometric Analysis,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle & Flawed Implementation (Bug in logic)
140c817e,Local Geometric Analysis,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle & Flawed Implementation (Bug in logic)
178fcbfb,Direct Procedure,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solutions (Failure to Generalize Meta-Rules)
178fcbfb,Direct Procedure,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solutions (Failure to Generalize Meta-Rules)
178fcbfb,Direct Procedure,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solutions (Failure to Generalize Meta-Rules)
178fcbfb,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
178fcbfb,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solutions (Failure to Generalize Meta-Rules)
1818057f,Local Geometric Analysis,Baseline_Static_Heterogeneous,5 runs experiment,Failure,ARC-AGI-V2,FALSE,Cognitive Tunnel Vision (Incorrectly identified pattern)
195ba7dc,Holistic Abstract Reasoning,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,'Final Step' Failure Anomaly (Hardcoded output size)
195ba7dc,Holistic Abstract Reasoning,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
195ba7dc,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
195ba7dc,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,'Final Step' Failure Anomaly (Hardcoded output size)
195ba7dc,Holistic Abstract Reasoning,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,'Final Step' Failure Anomaly (Hardcoded output size)
195ba7dc,Holistic Abstract Reasoning,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
19bb5feb,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,'Final Step' Failure Anomaly (Flawed sorting logic)
19bb5feb,Cognitive Labyrinth,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle & Flawed Solutions (Non-generalizable sorting logic)
19bb5feb,Cognitive Labyrinth,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle & Flawed Solutions (Non-generalizable sorting logic)
19bb5feb,Cognitive Labyrinth,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
19bb5feb,Cognitive Labyrinth,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Logically Broken Solution (Hallucinated Logic)
19bb5feb,Cognitive Labyrinth,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,'Final Step' Failure Anomaly (Flawed sorting logic)
1a2e2828,Local Geometric Analysis,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2,TRUE,Robust but Over-Specified / Redundant Constraint
1a2e2828,Local Geometric Analysis,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2,TRUE,Robust but Over-Specified / Redundant Constraint
1a2e2828,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2,TRUE,Robust but Over-Specified / Redundant Constraint
1a2e2828,Local Geometric Analysis,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Parsimonious
1a2e2828,Local Geometric Analysis,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Parsimonious
1a2e2828,Local Geometric Analysis,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2,FALSE,Brittle & Overly Complex Solution (Confused logic)
1acc24af,Direct Procedure,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
1acc24af,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
1acc24af,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
1acc24af,Direct Procedure,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
1b2d62fb,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V1,FALSE,'Final Step' Failure Anomaly (Hardcoded output size)
1b2d62fb,Local Geometric Analysis,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V1,FALSE,'Final Step' Failure Anomaly (Hardcoded output size)
1bfc4729,Local Geometric Analysis,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,'Overthinking' Failure Anomaly (Hallucinated procedural rule)
1bfc4729,Local Geometric Analysis,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,'Overthinking' Failure Anomaly (Hallucinated procedural rule)
1bfc4729,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1bfc4729,Local Geometric Analysis,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1bfc4729,Local Geometric Analysis,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1bfc4729,Local Geometric Analysis,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1c786137,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V1,TRUE,False Positive Success
1cf80156,Holistic Abstract Reasoning,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1cf80156,Holistic Abstract Reasoning,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1cf80156,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1cf80156,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1cf80156,Holistic Abstract Reasoning,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1cf80156,Holistic Abstract Reasoning,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1d398264,Cognitive Labyrinth,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V1,FALSE,False Positive / Brittle Solution
1d61978c,Local Geometric Analysis,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Ambiguity Avoidance Anomaly (Failed to handle edge case)
1d61978c,Local Geometric Analysis,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Ambiguity Avoidance Anomaly (Failed to handle edge case)
1d61978c,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Ambiguity Avoidance Anomaly (Failed to handle edge case)
1d61978c,Local Geometric Analysis,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1d61978c,Local Geometric Analysis,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Ambiguity Avoidance Anomaly (Failed to handle edge case)
1d61978c,Local Geometric Analysis,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Ambiguity Avoidance Anomaly (Failed to handle edge case)
1e0a9b12,Direct Procedure,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1e0a9b12,Direct Procedure,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1e0a9b12,Direct Procedure,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1e0a9b12,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1e0a9b12,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,TRUE,'Implementer' Bias Anomaly (Logically flawed & inefficient)
1e0a9b12,Direct Procedure,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1f642eb9,Direct Procedure,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Single Agent Cognitive Cliff (Hallucinated logic)
1f642eb9,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1f642eb9,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Correct but Inefficient & Convoluted
1f642eb9,Direct Procedure,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Simplistic Heuristic Failure
1f85a75f,Holistic Abstract Reasoning,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
1f85a75f,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2,FALSE,Single Agent's Cognitive Cliff (Reporting Anomaly)
1f85a75f,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
1f85a75f,Holistic Abstract Reasoning,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2,FALSE,Missing Constraint Failure (Bug in logic)
1fad071e,Direct Procedure,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1fad071e,Direct Procedure,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1fad071e,Direct Procedure,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
1fad071e,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2013d3e2,Holistic Abstract Reasoning,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Edge Case Neglect Anomaly (Brittle solution)
2013d3e2,Holistic Abstract Reasoning,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Edge Case Neglect Anomaly (Brittle solution)
2013d3e2,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Edge Case Neglect Anomaly (Brittle solution)
2013d3e2,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2013d3e2,Holistic Abstract Reasoning,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Edge Case Neglect Anomaly (Brittle solution)
2013d3e2,Holistic Abstract Reasoning,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Edge Case Neglect Anomaly (Brittle solution)
2072aba6,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2072aba6,Cognitive Labyrinth,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2072aba6,Cognitive Labyrinth,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2072aba6,Cognitive Labyrinth,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2072aba6,Cognitive Labyrinth,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2072aba6,Cognitive Labyrinth,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
21f83797,Holistic Abstract Reasoning,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Cost of Complexity (Brittle & flawed heuristic)
21f83797,Holistic Abstract Reasoning,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
21f83797,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Failure of Holistic Detail (Critical bug)
21f83797,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Correct but Inefficient & Convoluted
21f83797,Holistic Abstract Reasoning,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Correct but Inefficient & Convoluted
21f83797,Holistic Abstract Reasoning,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Correct but Inefficient & Convoluted
2204b7a8,Local Geometric Analysis,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2,FALSE,Brittle Solution (Overfitted to orientation)
2204b7a8,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle Solution for the wrong problem (Data Contamination)
2281f1f4,Direct Procedure,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Over-generalization Anomaly (Less specific rule)
2281f1f4,Direct Procedure,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2281f1f4,Direct Procedure,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2281f1f4,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Over-generalization Anomaly (Less specific rule)
2281f1f4,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
2281f1f4,Direct Procedure,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
7b5033c1,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,5 runs experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
